send_date,template_id,subject_line,pre_header_text,email_body,emails_sent,emails_unsubscribed,emails_clicked,emails_opened,sender_info
2025-04-22,T10,Flash Sale Ends Soon!, 1aNngAPXpFSJdzMVd8p,QKrg5QxKsEGit ZJ2zyeCH7DMsxP8NBgVl7OHxzUe1bnxxDR97I5LmjRjQLwex6FKq23KCwuF73qbJhIM0VeSASoXMptgHK7jtRT,3224,16,1559,2845,Jane from Growth
2025-05-03,T1,Thank You for Joining,8WVdMpxN7alo7dp1Rmf3,fEmI8iMj24YUF6v4xC JoF7AmIyxnCKJXvttr4mlL8LawYqlr7wo4sv9Y34FmDSFyiIacUy6zvgLch6u6SxMjMYI3oM8fg8Wzc2A,2182,26,317,2026,Customer Success
2025-05-02,T5,Don't Miss Out,0fakGGef8XBmNn3cMArE,xnOf UJVmy8oepW Z8gS8lOGhqJXcuQo4pAG 2TjPyf8Pgn8ecmAM89SGckKiKXLR303dSTfMfLtirZRJMow1P1ykQzTyEk0XsEy,4026,43,190,549,Jane from Growth
2025-05-04,T7,Don't Miss Out,vi8SfQaE4DZ q9jGad5o,BIZJzw2tdhaOKmPlDaR4GNlbShgDPM7fheRvezMVLbfW5ELuYsjMHYXW7T7zqyOEnMDZMfKARB 8MdcAKKPsNAH9POY8UR1vUykL,4811,48,2469,2549,Marketing Bot
2025-06-13,T9,Flash Sale Ends Soon!,xIH9AGqKyPeUV19hxk3I,sOKnuUg 6iDzcM6iDf9bxFlQXVrot 4flOjBYxHIjS93BWmr9YrB26F76e5deT41LpYChpXseFZB8J4puPMCGUfFmwO4lEx8ho88,1883,30,1240,1780,Team Alpha
2025-06-14,T3,Flash Sale Ends Soon!,TNXpq4b5yQHy YBPPUcI,2B3m0VwbUVt3SDsgtDRIb7vUyZYtlP88OFODQY1YAtSWgjPnLid2VqtXiVCnhmhyaVz78VD6weE19EeUpUuSIO9nyJAek2vki4Jh,4382,26,287,1565,Jane from Growth
2025-06-12,T5,Thank You for Joining,CHZFVRRprnUglNkImWBS,XePCUmUm0npt8tfFsFBDZGZLbVvyp3jrsNr4jdtR43yiMwzKdPJIXU2LMBDBHxcPxfmo UBrL8C4j4KVaHeFx s8Uu2sSx  1VCf,3704,45,697,3291,Jane from Growth
2025-06-01,T8,Unlock Your Reward,DwAh80 XCCVKj5E5c2Y2,5i1jWlrdpWX5dwnRKZbF6PPWonJ0BUPrybddYqYf03zACFtCDJ1gkXGII0tcVPmbNy9y9LfdaZWdEprndEx2WCShrmV7ix  lQKf,3405,20,2706,3065,Team Alpha
2025-06-16,T6,Your Weekly Update,kOtQOINHnR R B4ltSFX,BZjBzTlFYyJSC2Wur Z2PnxEMypDf7Vn1Zj4kobKz3DDrOX9cwyfNMlbMjIzH39eg sw6Lj266gsyLOI4jiYcL5bhr2ms1kub 8Z,1456,46,911,934,Customer Success
2025-06-01,T10,Thank You for Joining,vHBukpN1udZW1RdZxI8w,0nu1PFgiNaJRZrZdBRX49UyA5l9i0Sx7Mplhu1pQN0yiB zNlISCnE JGKVTOrdOR7vodl7ppQsrKY9z5xyRheZpfsaQL1bVJwwE,1207,47,383,1082,Customer Success
2025-06-05,T3,Don't Miss Out,bcmOnS9MUwRKYDW18YDb,RQUl0oAqt9Tzy5KM0h7EOvSUkhubk5X602syi0FojXCCODNera4cv8LMp6YparmZEIUAwt0ZJ9VvMr2fcfyAWDAFaUlFSFhw67oy,2005,11,578,1123,Team Alpha
2025-05-18,T10,Unlock Your Reward,MCANDUUMCvST16RFHnds,xXW5L6nVIpXrxXf byXpJLv8FC9GUKV2K5Eyi3cNyizJCE Uc2DypuJKHnkre v55ETPx9XHVD17J3EwuHMegn5Vc9gexAgq8azh,2100,42,893,1451,Jane from Growth
2025-06-10,T8,A Special Offer Inside,zQeOvRMTI3PF8Mt4moNA,7TpdKMBakkJxB6ADobUazVg58vuJ55lo1Va6ACkvWs5j7pPVzoPEpefCBiRt81DLFK8QoZXZCheQwKSdUmVpVlgTG1QeQXf6ftY9,1798,18,517,1286,Marketing Bot
2025-04-21,T5,Thank You for Joining,bT9Ly8b99Tc33cqcE93X,Ai77tLeZjN6OY9V mxnfm7ZrTu9tErfUH6HPv7oi40588ErA2xEmA8olgN4RZRIolzFDxa3XQPR4dw4oiaUPFe60DCvMP2Fjxoam,2083,2,751,1216,Team Alpha
2025-06-11,T1,Don't Miss Out,NEXqLPgpGkD0pMtSBDWX,9LCXLhZ8GwLAiBWEDwriXCR3waIWtlQ5MBX2CrpeeXOAlXxmCNSIhuhjnmW5kefGk6hWgDqex8NXuc6iWnjy8DSxry3kiIyS84OX,4949,4,1957,4050,Team Alpha
2025-06-03,T9,A Special Offer Inside,L94ojwqqR2oJFBuNeF L,IWSqKGrbbhzjcIbnNl4QODxkeGg4iKGpEEeqMyV t4Y2PUIjyrIrn2xhbArploR ho9yHM8VnB ea36WUDxqgret0FzoHd8DIVDb,1389,48,140,562,Jane from Growth
2025-05-07,T3,Unlock Your Reward,spz38QFu5oIIAiFjDlyk,DaDgRkfACiaKl3V0rwaoCER8zdPDPwQinkY8kUkyWauG3kvDNi dGocV3mjVcXL62KHioaP20zlVNXQPNmGRw2fRlERe3hbq0N78,1290,41,389,641,Jane from Growth
2025-06-14,T9,Don't Miss Out,QPKZxfAgUN7yYRlbQp2k,maO4tE9W6vX8ItsfGyKb0rNRsSOLfpNGUSaTkm4SGP12gosMsnKAYXDxmSNjH4TO40M1RM5sck6Yjnro7C8SfJwwGtdXzrj3IZE5,3931,21,183,1708,Team Alpha
2025-06-09,T1,Don't Miss Out,FRizuLXEN6UF7DI1QKfD,lmZtgtAHOMIOI7MoEjBDxS23ERKI79bJO3u6ZtyV7NLATRDWpJqL7ETm4ywod38MNvolCN981LnfJpmh5zz4GQhazn 1OhXZ1bZZ,2800,47,802,849,Team Alpha
2025-06-12,T8,Thank You for Joining,upyIRqXMwVVjRBX2I7Ny,4pjs7BfyOzQA 4jUDtCvwI9IrDXvJ6x2HIIuVv8pI5kWHU0Np3GcWFd0fSu4a1s11qgPkJ2smfiJCgBfxVZRid34VVU8R 8 nH75,4283,33,284,3080,Customer Success
2025-04-25,T5,Flash Sale Ends Soon!,UckCJK A7gvi2qKHgvIm,uDjhXS4AJh0kzp4rR9A8y0EDLp0JnpDhKPqMkWJ h9UyM3RpZ5hzQxmfMuWlFhJcExDjyb6TKEDv8uhwZo4hisBHhpuAvaNc91YX,4436,33,845,4305,Customer Success
2025-05-12,T2,A Special Offer Inside,MS0jfNYHW5WPCkb Iykh,DeM8MrX4X9HOcRyME4a2PgbZpgoiNV54ebA0HIcYhGfE5kap6GAFX7sQ6C3a52Ziv8efjLQZ jHFcknsCxxBgHucMYLyWn 3kAmU,2173,8,863,996,Team Alpha
2025-06-01,T3,Flash Sale Ends Soon!,6Xxa7YQpVmhKTCx2PfBR,cvKNgOOUvxb4RjB5R5bDS7oPgAjVwwKaLdciHgEYVjrz7M0NvpCPbF0oX8JgCLnYTVgsTHqC xCccLUKZYn91LLRipe CjhuoBHK,1898,24,430,794,Customer Success
2025-06-01,T8,Your Weekly Update,pgkXnXaysuEnKAjBcddh,f4mBtnehWnBQOaSUn5SX5zQgo5ZPTMUivPeZpXnIZeaTfqLeIRQHSmjUzTStc1w1vwITNmqxwDDgA7mCsBLrQOz0t2gmLT6bKBwV,1026,26,395,1008,Team Alpha
2025-05-02,T8,Don't Miss Out,T15F2m4ZY41Yv043lNzF,2kiRdeFaTiEYWfX whY2UI3DqJAa04W3iz3G69zSFnFLEA5r5kJ cB1owjQmhf3jH4TkPJcMpXiYY8Uqu4ZkjOqkToM0C  hMPYk,4605,27,235,760,Customer Success
2025-06-11,T9,Don't Miss Out,gzEIdPnm0uwi3ftqbtfB,Lr76C8x5o90hwxVToWCccM 2kUKuhTObspOxNADRwZufHlbLzzrkajruveWZ PhZBoJ64Lt5WvOsCmopzYycbzT6 BDcDYMI aYR,3971,15,618,667,Marketing Bot
2025-05-09,T8,Your Weekly Update,Cbt1tPoX5s0B3r8uSTTB,frV1YG67btsmlbLVanrUB0yo5Y8kOtMcIcqcgJGaxZk3yC22ErM21vIjk9HiKq49ftTIR2KCMirz4vevZIVN2TMnGqYpBkmq5GfU,3466,32,915,3454,Customer Success
2025-04-22,T10,Don't Miss Out,jvSWH8iOaxay6tpHOtZu,cg3AO1opk3yTFD66sOgl7CFLkiGDtzwAX4dVaMg0z VkXdeyTiSlQQryMNYOkZXzLxqoS9eUKx6qzGLh2uVroCO7pdIglLgUDZtH,2710,7,736,2606,Jane from Growth
2025-06-01,T5,A Special Offer Inside,ZNoQK1C7Qst98YrSeHqB,OaNYtWw2mnN6PmnThnXb00thsFHmfJcBBcdjf8czMaeO2duGdRCzS4nueKwZlb3E4kgYlFN8kUiozW0kNSeZ GHMLoYrYPRU1iFk,2460,36,1093,1624,Jane from Growth
2025-06-16,T9,Flash Sale Ends Soon!,oL7wVQiFaDUP jEIYxFC,1lNakW3ZyxxdmZrFIPQGQA36M87ToUvvculG09AWzfoplq9FLRvV wMEAZQSpCKkZ1wgNTx6p63J3m39whkz5760qDA3lVmePwVX,4414,5,2916,4327,Team Alpha
2025-06-16,T4,Unlock Your Reward,iYCsOwsx4HiEEr2uUJE4,VVvHvShFL91hvj330eBG3mmEHzlkqPwmkQp8 OO0RJRbPTFgLdWCm6op SGtb08nKr50atATx5pndBFJL1MRHeAYEi9Uouushg4 ,3266,12,265,1503,Team Alpha
2025-04-29,T3,Your Weekly Update,Q62ULNOv8YmRUb8a6qO5,P TKDfNs2899eZGQFQCeuSOwbyW4bFRI4BPVKJw586j945temfzpcX8AZiepFqcSkq0juBKItSQ X2gV99OdSO0K5omI7xzHK0P1,4044,5,1047,1466,Customer Success
2025-05-01,T4,Unlock Your Reward,gE5QchDbRz9Unm7PfygZ,oT6rxer1dKcGBSqTlibfaKAvZ97pdZuugLk 67vxVCAS Uaz akVZPCqN7jXQDcjXFkfCxJzH uB361JdAl77RhZ2xhzJnVYftGF,4149,10,253,576,Customer Success
2025-06-10,T6,Unlock Your Reward,ooGJ1y09jwt E6PTwY3T,OMQt5htqeQn8BzoWhrvazFsgOw99yzfd Qqh2QGjDz 80hpqvLnyi cmPQX1sleGsATROicDI UvBZM9FnAKdxdTNkKvphUnAmys,3378,31,2128,2224,Jane from Growth
2025-05-26,T6,Unlock Your Reward,fSrM51xfDIGn6XA2 CFD,HYWJAjjpqOD6Acq tK8UFGc8lJIsZP6OxSk5Zm6r 6aFvilvXNXnYuek2uXxIY3PT8YQkpgrnzFykIMx47ucbCWKLG9JEceFsy t,3354,22,2873,2923,Team Alpha
2025-04-30,T4,A Special Offer Inside,6obPYb4cS1zifcbyMBCy,wgWEt08JnCaZ1E1g2U3aWG mOuqeuP9X5UUJWb FjaLsZnNV8EAghB78cs2xqhjFXhCGP1S18SBsRjvt8KX6UnlobSxjr657EMSs,1807,40,534,1242,Customer Success
2025-05-31,T1,Your Weekly Update,aZQxi8oaEAcchTkaN7YB,MyL3chkPiS47uUJrw6oh8hysup9TN3sG2bkYqJCmrBZ5mI3aMRvMQ6oxgLWLviwgGSwj5uD3ddtL32SItbyBscKMrlF8Ob0iQZJG,1099,10,827,878,Customer Success
2025-06-12,T1,A Special Offer Inside,ZkNDptkm27eefGkRV9Ww,9ENCcZk9ReNFdHwja8EMuudz2dp1AnEUXmeG03UZhLPxi7HeaEtugbSrsCI0NzT7Oa1HMSKEfF1aj0B97X3bbLjRPWyo6Dbjwotg,1695,11,118,591,Team Alpha
2025-06-12,T8,Thank You for Joining,UZXl8NTd3mV0xWGRkS6E,50cCWxH07CiIoZP6gHkQcr7DPgLTtD5zwT2 ozDbkquw8eU3b9NMQd6wcuBJOhYrI9b06rhungOTglJEq8RRbeVa8DWbq10OP8XI,3461,9,382,1076,Marketing Bot
2025-06-10,T1,Your Weekly Update,mQ7JG3vGQA iAioyToMh,BT5YJnLm7fgMdTYk2t49ZowDobPABetYiZD3PiAX0njXrnsiOZCQf8PVqIKmSN5Ux9Tqe5HhThnox4ChbMqwtuw Yqf5MR qajUg,4368,49,1550,2832,Team Alpha
2025-06-16,T2,Thank You for Joining,lgmDXZ3uuUqLQbS99B3B,5y4g9h2UagM6StfqIu2v7cmO9hldOfU tH70wUryyzL7i9l1oZUa4L Kz5H fMkumHNKQneFHhA92QxxYsO2AUdGcdDwgikj8AmT,4406,18,760,1650,Marketing Bot
2025-04-29,T8,A Special Offer Inside,mKbBDX10mYfqsyQwn7uQ,BRsphtxSkfIXmzVgul1gIf2UZ Djhstm53dj8TzVdkhaBf0RPFBhS U5x6qn5LP5Af4KvDBASqdpRYAHfDf2DDTiQVXdDALE48eb,1912,26,316,820,Jane from Growth
2025-05-20,T7,A Special Offer Inside,VURcCi8h5Ukt3oggV4Ft,mlo3MIiZrs8V0Ult2M9iEfI28w02wkRWLCI s5iPoq86HRGiKDZLc7S3jKCrNkKnYHd2mnHawsz50k8ZSkOWa8r TLnJd3XgLo6f,2142,17,862,867,Customer Success
2025-04-30,T9,Thank You for Joining,Opf tpPBZvQfeJ56YeuW,oRtMhR1vT 2ESrqwNH0KuHRLXBPpMWi rDTrBKPJ42CYpCSET74xr5cjcff8pMVPcliDzOKY oBd4cLzSrJlM 5P2qa 541hqGgW,4640,3,2536,4621,Jane from Growth
2025-05-22,T10,Flash Sale Ends Soon!,m0RgqcoT sGugut5k NH,nEHKSnj0z2JhCnxxJMDoxImN6zfayikIqJscQHSnSrKkn1AQNEV7D2lEeMbhamUoFUiU4cRfHfhlS7kU2MiZ3gIokPKWnYFRXHJJ,2541,27,2022,2114,Marketing Bot
2025-04-21,T8,Flash Sale Ends Soon!,jgchS3V3Xpi7ESn R j3,7zPTj1hFyLTU9ZU61TJmZV0tdnmCt7bt4E7T1aG LOpiz1SCGylYETifCqiUnflRlYSyd21wKkZo 0eW39v5woiy4a8Y6JKyC7lt,2479,16,184,947,Marketing Bot
2025-05-01,T7,Don't Miss Out,o6sV8bJUTL1RBbvyAkSD,fQNNyVcR6F5J225xJmuau24pw5jRzwI7DxqNuKhnlfVLeVO7oAKCuVhurL2BQ5n8BZFgLL4qrQUsfKcrHXGpJllpfKkNJJfwfm4c,1998,26,254,783,Team Alpha
2025-04-20,T5,Flash Sale Ends Soon!,InQoJaZuneNz2UAke45E,rkUb6ld2pU13GnLyEo1A7Vus07NNWK xchQ1Q4SIp2RSomp4qaZXC gBWQ7o5addOweoFcY5OqZCi5TtqfS5wkMMVvDe4tay lkt,4925,30,946,2012,Marketing Bot
2025-05-17,T9,Don't Miss Out,6MLs0jHrMKGQoZJAEYWv,J Ku9StnebqSkGYhFHVbJUjqVgi7RZcqrsVwCDQBzjWlltvzvUaWCKz4XLhpHHtCpkpDZYx4IxfIgy1cegQ5NttpT1rzXqu5InnA,1938,20,1118,1234,Team Alpha
2025-06-09,T4,Your Weekly Update,FGgTBCcLsshWmAVFdawD,rFyTl6gdpgwLQNfZ00qPRbL3q4Sj6g7OXBQ0hGZuqrW7Qs7OlcngjlGJh81qZQBUGQ0JxaplhO0pOgXEFyYEIsUxRwMA4LCwqyuB,2426,19,1338,1545,Jane from Growth
2025-04-21,T5,A Special Offer Inside,WNlfYxwjFcpDjgMgazDw,JnZ9l51xK1Delsui biHPsN8jokamShzj2yvaGJrFlGl4RYVBvZrdjMymfIlY7oizl5PWAJoP 2SvwCre6QKy5zWrD1PpqUrGPUB,4631,9,2582,2636,Customer Success
2025-05-10,T9,Flash Sale Ends Soon!,yfJWY76F00T5Eh6cj6VN,PQRnuelouVaFiCXjfvpvw6uAZn411JrCrdCa1ci2e6d zxxQN6Vqo9QixsqAWb8oivzqjdXYsTsrk4ROVQFOQRRQbAttvCwqKvoN,2090,32,116,890,Team Alpha
2025-05-30,T9,Thank You for Joining,zADZgZB2FfnxEzWJeLqa,w4b0w4P3XuCtTvTeeiJCuP0WG9GXwMju9suMz49TZsQUyii Ika4GypKYmiNkP0JKwiiLFnisJmsarTm0LDCg2R0cuRoCyUZb HJ,1808,14,707,1128,Customer Success
2025-06-07,T8,Flash Sale Ends Soon!,eA4JxXq6OZq8DCoD6DM1,IiwCgfzn88800 IqQphMjKjAtkzHc2MeVbc7oEXq5w8ZrZIt tlBfpP1rv7pVrLR8BrJPVgzZ6VbYquFL8gcg5Peh0tm6fYqBuod,3465,33,1737,2034,Customer Success
2025-05-30,T5,Flash Sale Ends Soon!,PjL2LtQeS2q532e1dMEl,I 31Lp97qPj a4zl6w3kFkGGgtYh0IrXn6EJojWVh2n2F0 tEkRI9reQio7 wjmg Xu5B7hpKWHovfcBaw1u8 SWnRFfDYPJoNPa,3100,28,729,855,Jane from Growth
2025-04-20,T5,Unlock Your Reward,ecgY7eBi6oMI KJax65s,my5YCgBtg45AlcX9Rpch4I7rdDexUtzT5MpbHC2e74pqbaSVBSwmRwqOb2vRlQGamIZeoVqOuMvfa6xE34C9tBNDb2mLvqRox1Fi,3967,32,845,3852,Jane from Growth
2025-05-18,T5,Thank You for Joining,IeAVmr2i8Ipw2fUxaiYw,DUCb8u0PHLW1jAO5D3wZzZPui8djW0wzPPvyx7QNDhl50dHVM4atSfuAXwl cUncos7uZPB4bUhUXkBYZTTcivKQQqJ4QEcxpyGW,3273,17,192,636,Team Alpha
2025-05-30,T9,Flash Sale Ends Soon!,086dDLS2VKNPDOzXe8Yq,iO7zIOcGuJ65 qVLKJi4fQS2TWYDvjoOBvo1in uF7uCpyrxjDMK6eczZZHYIB5UbgcF48ZJNa0zuxGKUAmF3UIPVWF4 CEmhPDh,3807,45,444,511,Team Alpha
2025-05-04,T3,Unlock Your Reward,WQ9Q6uvWtrelFiPEnJya,COrLSCnvRgD1ty5mseFrgaYiWzWi12DIABtdguoF3L1I99n0A5s3HwS0LcnVLcmE6e5muMoxY2LEyOBKdD4vRv2tyNLfuYNwrYsH,1875,45,460,1855,Customer Success
2025-05-31,T1,Don't Miss Out,oOzwnaKYcMhm7XBr6eOb,KoQOLTv79C22GkI89TGKUt6TCeIROSjCbV4cmb2BaOfNugb3ioAycH7I7YMacVL9K Rz3omD4x2oqFbNs4ZzUd1NZumXjZbVzEdv,1653,6,178,789,Customer Success
2025-05-21,T3,Your Weekly Update,Oe7JFJt5C58p1WTLz99E,h1q22avevU2uYna0bo2AGt5pbW7V7zegvtt7HAes2 Y lNLlONUQIevTcxD8MUZeg25zVZPwv5cnT5twAtwuSWXGxhYJJmGBJlYn,3115,23,436,700,Marketing Bot
2025-05-24,T9,Don't Miss Out,v7rYu9uAF0jYxdYu3swW,WC5asChP YTtB4HZTM0FblqPtrnqcnR8S9iREipLsml7dyYSeRVy4FfwLsLRkWO0 7X5NCi6OR8b cz4ivdjUdPmd7gp26XoRBml,1766,2,854,1127,Team Alpha
2025-06-04,T4,Your Weekly Update,7iWdb9FH lYo5HbscpPb,xk05TGxiuYy0rVizZw7xZIz8JbCgJxAC91kNCTZ81R03BzWKOqtQenV706wNMlhj4JEPoEHCpCPs5ledKRiC7sO5pmZuVKqjo3ra,1032,19,219,667,Team Alpha
2025-06-03,T2,Thank You for Joining,4RNai1qXqiue3jCwxZcI,WgTdhRBGMPkMVsJO sfuIZPk5MiCE98udoMOPym15kfK ORA3oLMcqfZ9I KFFGx1OT k4G1MScYkIE5KYo5Zoql6CAcG5AVNhSj,3496,23,999,1811,Customer Success
2025-05-14,T1,A Special Offer Inside,yXBXnNItImQNzPWTAkvP,znKo1OcOlZeO95hwUMJH15vyH1zMMyCMDLxUUX1XpaooBCLtYMPdkSvyySmCNY61OguDOvCiHKwc5tTNCqT2BNbJIqeq94aepHEB,3200,49,1022,1743,Marketing Bot
2025-06-01,T7,A Special Offer Inside,2xK9LScjebxAut5k6lhg,dB lnGH33vKmUXfLc5kLXYdDmZhSeyHN1D GOKO6RzWfdxhrQgx9NhJrdvuTRgBRIgBPGFGHJkMpg2NYFCEGf57hO4nQIlsOx4xq,4200,41,649,868,Team Alpha
